Datetime,NO2,NO,NOx,Tc,P,Fc,Foz,PDVs,PDVg,Ts,Er,Mode
2024-11-11 17:13:00,-24.75,10.6,-14.15,13.9,983.4000000000001,1637.0,52.1,1.0332059999999998,0.113,103.85,88.0,80.0
2024-11-11 17:13:10,-22.35,9.05,-13.3,13.9,983.35,1650.0,53.25,1.0330045,0.113,104.95,88.0,80.0
2024-11-11 17:13:20,-20.45,7.65,-12.8,13.9,984.1500000000001,1579.5,52.75,1.0327975,0.113,106.05,88.0,80.0
2024-11-11 17:13:30,-18.9,6.6,-12.3,13.9,983.35,1635.0,52.3,1.032585,0.113,107.05,84.0,80.0
2024-11-11 17:13:40,-17.75,5.9,-11.95,13.9,983.35,1648.5,53.3,1.0323855,0.1135,108.1,80.0,80.0
2024-11-11 17:13:50,-16.85,5.199999999999999,-11.649999999999999,13.9,983.95,1578.0,52.9,1.032212,0.114,109.2,80.0,80.0
2024-11-11 17:14:00,-16.1,4.1,-12.0,13.9,983.15,1608.5,52.400000000000006,1.032195,0.114,110.3,80.0,80.0
2024-11-11 17:14:10,-15.649999999999999,3.75,-11.95,13.9,983.2,1592.5,53.3,1.0324754999999999,0.114,110.9,80.0,80.0
2024-11-11 17:14:20,-14.95,3.0,-11.899999999999999,13.9,983.8,1551.5,52.95,1.0329760000000001,0.114,111.05,80.0,80.0
2024-11-11 17:14:30,-13.6,2.95,-10.65,13.9,983.05,1573.5,52.55,1.0335334999999999,0.115,110.80000000000001,80.0,80.0
2024-11-11 17:14:40,-12.5,2.6,-9.899999999999999,13.9,983.15,1595.5,53.4,1.034011,0.115,110.45,40.0,80.0
2024-11-11 17:14:50,-11.75,2.55,-9.2,13.9,983.75,1559.0,53.099999999999994,1.034415,0.115,110.15,0.0,80.0
2024-11-11 17:15:00,-11.2,2.3499999999999996,-8.9,13.9,983.1500000000001,1595.0,52.599999999999994,1.034725,0.115,110.0,0.0,80.0
2024-11-11 17:15:10,-9.75,1.4500000000000002,-8.3,13.9,983.1,1609.5,53.5,1.0349499999999998,0.115,110.0,0.0,80.0
2024-11-11 17:15:20,-6.65,-1.5,-8.15,13.9,983.6,1565.5,53.25,1.035124,0.115,110.15,0.0,80.0
2024-11-11 17:15:30,-4.25,-1.6,-5.85,13.9,983.0,1593.5,52.75,1.0352465,0.116,110.25,0.0,80.0
2024-11-11 17:15:40,-4.1,-1.25,-5.35,13.9,983.0,1601.0,53.55,1.0353374999999998,0.116,110.35,0.0,80.0
2024-11-11 17:15:50,-3.75,-1.45,-5.15,13.9,983.55,1562.5,53.25,1.0354115,0.116,110.4,0.0,80.0
2024-11-11 17:16:00,-3.25,-1.7000000000000002,-4.95,13.9,983.05,1589.0,52.65,1.0354565,0.119,110.4,0.0,80.0
2024-11-11 17:16:10,-2.9,-1.85,-4.75,13.9,982.95,1602.5,53.599999999999994,1.0354885,0.1195,110.3,0.0,80.0
2024-11-11 17:16:20,-2.6,-1.85,-4.449999999999999,13.9,983.6,1560.5,53.2,1.0355340000000002,0.118,110.3,0.0,80.0
2024-11-11 17:16:30,-2.2,-1.65,-3.9,13.9,983.05,1590.0,52.55,1.0355375,0.1195,110.3,0.0,80.0
2024-11-11 17:16:40,-1.9,-1.5,-3.4,13.9,983.0,1601.5,53.5,1.035546,0.1195,110.25,0.0,80.0
2024-11-11 17:16:50,-1.4500000000000002,-1.5,-2.95,13.9,983.6500000000001,1558.5,53.15,1.0355604999999999,0.118,110.3,0.0,80.0
2024-11-11 17:17:00,-1.05,-1.15,-2.2,13.9,983.05,1588.5,52.599999999999994,1.035564,0.1195,110.3,0.0,80.0
2024-11-11 17:17:10,-0.4,-1.0,-1.4,13.9,982.95,1597.5,53.5,1.035541,0.12,110.3,0.0,80.0
2024-11-11 17:17:20,-0.15,-0.15,-0.25,13.9,983.5,1560.0,53.2,1.035564,0.119,110.3,0.0,80.0
2024-11-11 17:17:30,-0.55,0.35,-0.30000000000000004,13.9,982.95,1589.5,52.8,1.0355530000000002,0.1205,110.3,0.0,80.0
2024-11-11 17:17:40,-0.9,0.9,0.05,13.9,982.95,1600.0,53.5,1.035546,0.1205,110.3,0.0,80.0
2024-11-11 17:17:50,,,,,,,,,,,,
2024-11-11 17:18:00,-0.975,1.5,0.5,13.9,983.225,1574.0,52.975,1.0355495000000001,0.11975,110.3,0.0,80.0
2024-11-11 17:18:10,-0.8,2.3,1.5,13.9,982.9,1600.0,53.45,1.0355115000000001,0.1205,110.3,0.0,80.0
2024-11-11 17:18:20,-0.8,3.25,2.55,13.9,983.45,1560.0,53.2,1.0355355,0.119,110.3,0.0,80.0
2024-11-11 17:18:30,-0.8,3.9499999999999997,3.15,13.9,983.0,1589.0,52.65,1.0355255,0.1205,110.35,0.0,80.0
2024-11-11 17:18:40,-0.8500000000000001,4.05,3.25,13.9,982.95,1596.5,53.349999999999994,1.0355225,0.1205,110.3,0.0,80.0
2024-11-11 17:18:50,-0.75,4.0,3.1500000000000004,13.9,983.4,1558.0,53.15,1.035547,0.119,110.35,0.0,80.0
2024-11-11 17:19:00,-0.6,4.15,3.6,13.95,983.05,1589.0,61.35,1.0355465000000001,0.1205,110.3,0.0,80.0
2024-11-11 17:19:10,-0.45,4.35,3.95,14.0,983.0,1596.0,53.349999999999994,1.035559,0.121,110.3,0.0,80.0
2024-11-11 17:19:20,-0.25,4.45,4.2,14.0,983.45,1554.0,53.1,1.035577,0.119,110.3,0.0,80.0
2024-11-11 17:19:30,-0.15000000000000002,4.25,4.1,14.0,983.1,1590.0,52.55,1.0355690000000002,0.1215,110.3,0.0,80.0
2024-11-11 17:19:40,0.05,4.1,4.15,14.0,983.15,1594.0,53.05,1.0355435000000002,0.121,110.35,0.0,80.0
2024-11-11 17:19:50,0.25,4.15,4.45,14.0,983.45,1551.5,52.95,1.0355615,0.12,110.35,0.0,80.0
2024-11-11 17:20:00,0.25,4.5,4.75,14.0,983.2,1589.0,52.4,1.035554,0.1215,110.35,0.0,80.0
2024-11-11 17:20:10,0.2,4.65,4.85,14.0,983.15,1589.0,52.9,1.0355500000000002,0.1215,110.4,0.0,80.0
2024-11-11 17:20:20,0.35,4.4,4.8,14.0,983.45,1549.5,52.7,1.0355794999999999,0.12,110.4,0.0,80.0
2024-11-11 17:20:30,0.7,4.15,4.8,14.0,983.25,1586.0,52.400000000000006,1.0355750000000001,0.1215,110.4,0.0,80.0
2024-11-11 17:20:40,0.95,4.0,4.95,14.0,983.25,1585.5,52.85,1.0355655000000001,0.1215,110.3,0.0,80.0
2024-11-11 17:20:50,1.15,3.9,5.05,14.0,983.45,1548.5,52.7,1.0355845000000001,0.12,110.35,0.0,80.0
2024-11-11 17:21:00,1.5,3.75,5.25,14.0,983.3,1587.5,52.25,1.0355745,0.1215,110.35,0.0,80.0
2024-11-11 17:21:10,1.7999999999999998,3.9,5.7,14.0,983.25,1585.0,52.75,1.035513,0.122,110.4,0.0,80.0
2024-11-11 17:21:20,2.1500000000000004,17.05,19.2,14.0,983.45,1546.0,52.650000000000006,1.0356174999999999,0.1205,110.35,0.0,80.0
2024-11-11 17:21:30,2.3499999999999996,6.05,8.45,14.0,983.3,1588.5,52.4,1.035632,0.1225,110.4,0.0,80.0
2024-11-11 17:21:40,2.45,6.4,8.850000000000001,14.0,983.3,1586.0,52.7,1.0356435,0.122,110.4,0.0,80.0
2024-11-11 17:21:50,2.5,6.5,9.0,14.0,983.4,1543.5,52.7,1.035677,0.121,110.4,0.0,80.0
2024-11-11 17:22:00,2.55,6.75,9.3,14.0,983.3,1588.5,52.3,1.035677,0.1225,110.4,0.0,80.0
2024-11-11 17:22:10,2.75,7.15,9.85,14.0,983.25,1584.0,52.65,1.0357045,0.1225,110.4,0.0,80.0
2024-11-11 17:22:20,2.75,7.6,10.3,14.0,983.3499999999999,1545.0,52.599999999999994,1.035739,0.121,110.4,0.0,80.0
2024-11-11 17:22:30,2.45,7.75,10.25,14.0,983.3499999999999,1588.5,52.3,1.035757,0.1225,110.4,0.0,80.0
2024-11-11 17:22:40,2.4,7.85,10.350000000000001,14.0,983.25,1584.0,52.6,1.035765,0.122,110.4,0.0,80.0
2024-11-11 17:22:50,2.45,8.05,10.5,14.0,983.3499999999999,1543.5,52.6,1.0358049999999999,0.121,110.4,0.0,80.0
