Datetime,number,diam,LDSA,surface,mass,A1,A2,idiff,HV,EM1,EM2,DV,T,RH,P,flow,bat,Ipump,error,PWMpump
2024-11-11 17:58:21,4455,30,7.1,28.17,0.47,1.145,0.348,0.03,291,-1.11,-0.19,359,14.0,0,1048.2,0.499,4.19,15.4,0,53
2024-11-11 17:58:22,4789,29,7.3,27.89,0.45,1.178,0.34,1.99,3608,2.84,1.42,359,14.0,65,1048.2,0.499,4.19,15.72,0,53
2024-11-11 17:58:23,5191,29,8.02,31.0,0.5,1.294,0.38,0.06,287,-0.93,-0.31,366,14.0,65,1027.8,0.501,4.19,15.44,0,53
2024-11-11 17:58:24,5914,25,7.83,26.48,0.37,1.263,0.294,2.01,3610,2.59,1.36,359,14.0,65,1027.8,0.501,4.18,15.72,0,53
2024-11-11 17:58:25,5849,25,7.75,26.19,0.37,1.249,0.288,0.04,284,-1.11,-0.43,360,14.0,65,1027.8,0.499,4.19,15.76,0,53
2024-11-11 17:58:26,5635,25,7.59,26.03,0.37,1.224,0.302,2.0,3608,2.35,1.24,359,14.0,65,1028.2,0.5,4.19,15.56,0,53
2024-11-11 17:58:27,5710,25,7.56,25.56,0.36,1.22,0.288,0.05,289,-1.42,-0.56,358,14.0,65,1028.2,0.5,4.19,15.88,0,53
2024-11-11 17:58:28,5582,26,7.79,27.56,0.4,1.256,0.325,2.01,3608,2.78,1.11,358,14.0,65,1028.2,0.5,4.2,15.52,0,53
2024-11-11 17:58:29,5389,27,7.88,29.05,0.45,1.271,0.349,0.04,287,-1.61,-0.56,359,14.0,65,1028.0,0.5,4.19,15.44,0,53
2024-11-11 17:58:30,4302,31,7.27,30.37,0.53,1.172,0.382,1.99,3610,2.47,1.3,359,14.0,65,1028.0,0.5,4.19,15.72,0,53
2024-11-11 17:58:31,3228,36,6.37,30.42,0.62,1.027,0.395,0.03,289,-1.05,-0.43,358,14.0,65,1028.0,0.5,4.19,15.2,0,53
2024-11-11 17:58:32,3492,35,6.59,30.28,0.59,1.062,0.39,2.0,3610,2.35,1.11,358,14.0,65,1027.8,0.5,4.19,15.72,0,53
2024-11-11 17:58:33,4657,31,7.68,31.45,0.54,1.239,0.393,0.06,288,-1.54,-0.8,358,14.0,65,1027.8,0.5,4.19,15.6,0,53
2024-11-11 17:58:34,5623,25,7.47,25.34,0.36,1.205,0.292,2.0,3611,2.53,1.3,359,14.0,65,1027.8,0.5,4.19,15.28,0,53
2024-11-11 17:58:35,5029,25,6.66,22.51,0.31,1.074,0.249,0.05,291,-1.11,-0.25,359,14.0,65,1028.0,0.5,4.19,15.6,0,53
2024-11-11 17:58:36,5346,25,7.08,23.93,0.33,1.142,0.272,2.0,3610,2.66,0.99,359,14.0,65,1028.0,0.5,4.19,15.32,0,53
2024-11-11 17:58:37,5721,26,7.83,27.26,0.39,1.263,0.318,0.05,285,-1.24,-0.49,359,14.0,65,1028.0,0.5,4.19,15.56,0,53
2024-11-11 17:58:38,5754,27,8.42,31.05,0.48,1.358,0.373,2.0,3608,2.78,1.05,359,14.0,65,1027.9,0.5,4.19,15.72,0,53
2024-11-11 17:58:39,4887,29,7.68,30.16,0.5,1.239,0.372,0.05,292,-1.11,-0.37,358,14.0,65,1027.9,0.5,4.19,15.36,0,53
2024-11-11 17:58:40,3606,35,6.75,30.85,0.6,1.089,0.397,1.99,3608,2.84,1.24,358,14.1,65,1027.9,0.5,4.19,15.88,0,53
2024-11-11 17:58:41,3431,40,7.58,39.98,0.9,1.223,0.524,0.05,287,-1.24,-0.74,359,14.1,65,1028.0,0.5,4.19,15.76,0,53
2024-11-11 17:58:42,5217,31,8.6,35.18,0.6,1.387,0.44,1.99,3608,2.47,1.36,358,14.1,65,1028.0,0.5,4.19,15.6,0,53
2024-11-11 17:58:43,6047,25,8.01,27.1,0.38,1.292,0.312,0.05,288,-1.17,-0.31,359,14.0,65,1028.0,0.499,4.19,15.72,0,53
2024-11-11 17:58:44,4507,30,7.25,29.02,0.49,1.169,0.36,2.0,3610,2.72,1.11,359,14.0,65,1027.9,0.5,4.19,15.44,0,53
2024-11-11 17:58:45,4262,32,7.44,31.96,0.58,1.2,0.405,0.03,288,-1.48,-0.37,359,14.0,65,1027.9,0.501,4.19,15.2,0,53
2024-11-11 17:58:46,4761,30,7.73,31.16,0.53,1.246,0.388,2.02,3612,2.9,1.17,359,14.1,65,1027.9,0.5,4.19,15.92,0,53
2024-11-11 17:58:47,5812,26,8.0,27.96,0.41,1.29,0.327,0.04,288,-1.24,-0.37,359,14.1,65,1028.0,0.5,4.19,15.12,0,53
2024-11-11 17:58:48,5943,25,7.92,26.94,0.38,1.278,0.311,1.99,3610,2.41,1.05,358,14.1,65,1028.0,0.499,4.19,15.68,0,53
2024-11-11 17:58:49,5674,26,7.88,27.76,0.41,1.271,0.326,0.03,285,-0.86,-0.56,359,14.1,65,1028.0,0.499,4.19,15.8,0,53
2024-11-11 17:58:50,5555,25,7.36,24.87,0.35,1.186,0.231,2.01,3610,2.84,1.36,359,14.1,65,1028.1,0.5,4.19,15.4,0,53
2024-11-11 17:58:51,5543,25,7.34,24.81,0.35,1.184,0.249,0.04,288,-1.61,-0.12,358,14.1,65,1028.1,0.5,4.19,15.44,0,53
2024-11-11 17:58:52,5592,29,8.71,33.92,0.55,1.405,0.417,2.0,3610,2.78,1.24,359,14.1,65,1028.1,0.5,4.19,15.6,0,53
2024-11-11 17:58:53,4755,33,8.39,36.41,0.67,1.353,0.463,0.04,285,-1.11,-0.8,359,14.1,65,1028.0,0.5,4.19,15.08,0,53
2024-11-11 17:58:54,4863,28,7.14,26.42,0.41,1.152,0.318,2.01,3606,2.47,1.24,358,14.1,65,1028.0,0.5,4.19,15.68,0,53
2024-11-11 17:58:55,5515,25,7.31,24.72,0.35,1.179,0.284,0.05,285,-1.36,-0.12,359,14.1,65,1028.0,0.5,4.19,15.48,0,53
2024-11-11 17:58:56,4807,29,7.48,29.06,0.47,1.206,0.357,2.0,3611,2.72,1.11,358,14.1,65,1027.8,0.5,4.19,15.36,0,53
2024-11-11 17:58:57,5404,28,7.97,29.56,0.46,1.285,0.356,0.05,285,-1.48,-0.49,359,14.1,65,1027.8,0.5,4.19,15.64,0,53
2024-11-11 17:58:58,6031,25,7.99,27.0,0.38,1.288,0.294,2.02,3610,2.47,1.36,358,14.1,65,1027.8,0.5,4.2,15.72,0,53
2024-11-11 17:58:59,5658,25,7.49,25.33,0.35,1.209,0.206,0.04,291,-0.99,-0.31,359,14.1,65,1028.2,0.5,4.19,15.32,0,53
2024-11-11 17:59:00,5449,26,7.46,25.94,0.37,1.203,0.303,2.0,3610,2.72,1.05,358,14.1,65,1028.2,0.5,4.19,15.72,0,53
