datetime,bin1,bin2,bin3,bin4
2024-07-15 15:06:03,0.0,0.0,0.0,0.0
2024-07-15 15:06:04,,,,
2024-07-15 15:06:05,,,,
2024-07-15 15:06:06,,,,
2024-07-15 15:06:07,,,,
2024-07-15 15:06:08,,,,
2024-07-15 15:06:09,,,,
2024-07-15 15:06:10,,,,
2024-07-15 15:06:11,,,,
2024-07-15 15:06:12,,,,
2024-07-15 15:06:13,,,,
2024-07-15 15:06:14,,,,
2024-07-15 15:06:15,,,,
2024-07-15 15:06:16,,,,
2024-07-15 15:06:17,,,,
2024-07-15 15:06:18,19.988,0.151,0.0,0.0
2024-07-15 15:06:19,21.598,0.151,0.0,0.0
2024-07-15 15:06:20,23.132,0.151,0.0,0.0
2024-07-15 15:06:21,24.187,0.151,0.0,0.0
2024-07-15 15:06:22,25.119,0.151,0.0,0.0
2024-07-15 15:06:23,25.586,0.126,0.0,0.0
2024-07-15 15:06:24,25.937,0.108,0.0,0.0
2024-07-15 15:06:25,26.085,0.094,0.0,0.0
2024-07-15 15:06:26,26.098,0.084,0.0,0.0
2024-07-15 15:06:27,26.005,0.075,0.0,0.0
2024-07-15 15:06:28,26.221,0.069,0.0,0.0
2024-07-15 15:06:29,26.066,0.063,0.0,0.0
2024-07-15 15:06:30,26.112,0.058,0.0,0.0
2024-07-15 15:06:31,26.382,0.054,0.0,0.0
2024-07-15 15:06:32,26.209,0.05,0.0,0.0
2024-07-15 15:06:33,26.309,0.047,0.0,0.0
2024-07-15 15:06:34,26.431,0.053,0.0,0.0
2024-07-15 15:06:35,26.68,0.05,0.0,0.0
2024-07-15 15:06:36,26.861,0.048,0.0,0.0
2024-07-15 15:06:37,26.96,0.045,0.0,0.0
